pairID	input	label
d3b479933e716fb388dfb297e881054c	Question: If a lantern is not for sale, where is it likely to be? Answer: house Explanation: antique shop explanation an antique shop is the only place that sells lanterns.	Choice: antique shop Choice: dark place
826ec860a4a1e1999a938942635c2de9	Question: Which group is the cover for tonight's musical program? Answer: concert Explanation: opera explanation opera is the only choice that is a musical program.	 Choice: opera Choice: television
4a93cfdc83053286c02c30d5dfc96ba1	Question: Where is the most likely place for more than one stadium? Answer: large city Explanation: large city explanation rome is the most likely place for more than one stadium	Choice: rome Choice: college town 
9d8a99ae1108df5880eb7e8b28c4c388	Question: When you drive and see someone walking across the street what do we do? Answer: stop Explanation: stop explanation if you see someone walking across the street, you stop.	 Choice: walking Choice: passenger
9e3fff18de6fb82e294e6fc591074743	Question: Bob asked James to be an alibi witness for him but James is worried about committing perjury. He's afraid he'll be found out and he'll what? Answer: go to jail Explanation: go to jail explanation if you commit perjury, you're going to go to jail.	 Choice: embarrassment Choice: penalty
3a2545f3dd530d3bb1fcb998d5fd6abd	Question: The weasel was sifting through garbage, where did it look for it? Answer: backyards Explanation: backyards explanation the weasel was sifting through garbage.	Choice: hollow log Choice: law office
88aead3f822edc2bb05a62bef6553af4	Question: What happens when someone is playing too aggressively? Answer: injury Explanation: injury explanation if someone is playing too aggressively, they can cause injury.	 Choice: get hungry Choice: feeling happy
eeb771a3c78a2e9478a1d72d80997461	Question: If I were to stand up and put my leg in front of the other leg repeatedly I would do what? Answer: start walking Explanation: move around explanation standing up and putting your leg in front of the other leg repeatedly would do what?	Choice: have to say Choice: move around
0e82071e4044520ef91552388edda2e1	Question: What is likely to happen from eating too much regularly? Answer: gaining weight Explanation: gaining weight explanation eating too much regularly can lead to gaining weight.	Choice: getting full Choice: gas 
4d0c4efc4f7475fd6b2e2ae6fc5df5b7	Question: Where does a human likely not want to be? Answer: jail Explanation: jail explanation jail is the only place a human would not want to be.	Choice: park Choice: church
a6c0db20b07de51dfe5cc638a8d9f8bf	Question: When you want to eat lunch, you need to have what for it? Answer: have time for Explanation: have time for explanation when you want to eat lunch, you need to have time.	 Choice: prepare food Choice: find food
7580402d3b6f09501edf23a1e7b6fe03	Question: The woman was worried about environmental impact, what did she fret over while attempting to wash clothes? Answer: use water Explanation: use water explanation the woman was worried about environmental impact,what did she fret over while trying to wash clothes	 Choice: use soap Choice: gather up
e850e9ebec318a356ac55a39cd5fabbd	Question: The cat saw animal control approaching her, what did she decide to do? Answer: run away Explanation: run away explanation if she saw animal control approaching, she would run away.	 Choice: cast shadow Choice: see at night
